Momento,Sector,Producto,Variedad,Promedio
2014-08,Frutillar,Aceite,Maravilla,1807.4841581070614
2014-09,Frutillar,Aceite,Maravilla,1680.2222
2014-10,Frutillar,Aceite,Maravilla,1651.9047
2014-11,Frutillar,Aceite,Maravilla,1807.4841581070614
2014-12,Frutillar,Aceite,Maravilla,1807.4841581070614
2015-01,Frutillar,Aceite,Maravilla,1807.4841581070614
2015-02,Frutillar,Aceite,Maravilla,1480.6666
2015-03,Frutillar,Aceite,Maravilla,1738.5
2015-04,Frutillar,Aceite,Maravilla,1862.3
2015-05,Frutillar,Aceite,Maravilla,2072.25
2015-06,Frutillar,Aceite,Maravilla,1732.5
2015-07,Frutillar,Aceite,Maravilla,1732.5
2015-08,Frutillar,Aceite,Maravilla,1732.25
2015-09,Frutillar,Aceite,Maravilla,1731.5
2015-10,Frutillar,Aceite,Maravilla,1717.0
2015-11,Frutillar,Aceite,Maravilla,1752.1666
2015-12,Frutillar,Aceite,Maravilla,1773.1666
2016-01,Frutillar,Aceite,Maravilla,1757.8214
2016-02,Frutillar,Aceite,Maravilla,1773.4166
2016-03,Frutillar,Aceite,Maravilla,1793.9866
2016-04,Frutillar,Aceite,Maravilla,1814.2221
2016-05,Frutillar,Aceite,Maravilla,1795.3916
2016-06,Frutillar,Aceite,Maravilla,1805.6249
2016-07,Frutillar,Aceite,Maravilla,1924.6444
2016-08,Frutillar,Aceite,Maravilla,1951.85
2016-09,Frutillar,Aceite,Maravilla,1971.2666
2016-10,Frutillar,Aceite,Maravilla,1816.0416
2016-11,Frutillar,Aceite,Maravilla,1839.7999
2016-12,Frutillar,Aceite,Maravilla,1941.9888
2017-01,Frutillar,Aceite,Maravilla,1960.4999
2017-02,Frutillar,Aceite,Maravilla,1894.1547
2017-03,Frutillar,Aceite,Maravilla,1721.6666
2017-04,Frutillar,Aceite,Maravilla,1927.0
2017-05,Frutillar,Aceite,Maravilla,1937.0333
2017-06,Frutillar,Aceite,Maravilla,1745.0714
2017-07,Frutillar,Aceite,Maravilla,1807.2857
2017-08,Frutillar,Aceite,Maravilla,1832.3809
2017-09,Frutillar,Aceite,Maravilla,1839.2856
2017-10,Frutillar,Aceite,Maravilla,1759.3213
2017-11,Frutillar,Aceite,Maravilla,1867.2559
2017-12,Frutillar,Aceite,Maravilla,1824.5237
2018-01,Frutillar,Aceite,Maravilla,1831.4285
2018-02,Frutillar,Aceite,Maravilla,1840.1983
2018-03,Frutillar,Aceite,Maravilla,1848.9225
2018-04,Frutillar,Aceite,Maravilla,1869.3868
2018-05,Frutillar,Aceite,Maravilla,1746.7142
2018-06,Frutillar,Aceite,Maravilla,1749.9999
2014-08,Llanquihue,Aceite,Maravilla,1755.91752736939
2014-09,Llanquihue,Aceite,Maravilla,1579.5833
2014-10,Llanquihue,Aceite,Maravilla,1661.2222
2014-11,Llanquihue,Aceite,Maravilla,1755.91752736939
2014-12,Llanquihue,Aceite,Maravilla,1755.91752736939
2015-01,Llanquihue,Aceite,Maravilla,1755.91752736939
2015-02,Llanquihue,Aceite,Maravilla,1755.91752736939
2015-03,Llanquihue,Aceite,Maravilla,1585.9999
2015-04,Llanquihue,Aceite,Maravilla,1537.8666
2015-05,Llanquihue,Aceite,Maravilla,1546.75
2015-06,Llanquihue,Aceite,Maravilla,1600.0
2015-07,Llanquihue,Aceite,Maravilla,1358.4166
2015-08,Llanquihue,Aceite,Maravilla,1581.5833
2015-09,Llanquihue,Aceite,Maravilla,1676.875
2015-10,Llanquihue,Aceite,Maravilla,1809.8888
2015-11,Llanquihue,Aceite,Maravilla,1702.9166
2015-12,Llanquihue,Aceite,Maravilla,1808.1666
2016-01,Llanquihue,Aceite,Maravilla,1597.0625
2016-02,Llanquihue,Aceite,Maravilla,1736.5
2016-03,Llanquihue,Aceite,Maravilla,1786.8333
2016-04,Llanquihue,Aceite,Maravilla,1834.1111
2016-05,Llanquihue,Aceite,Maravilla,1822.0833
2016-06,Llanquihue,Aceite,Maravilla,1893.625
