Ponderacion,Producto_INE,Producto,Accion
0.20255,ARROZ,Cereales,Desechar
0.09708,HARINA,Harinas,Desechar
0.18699,CEREAL,Cereales,Desechar
2.09319,PAN,Pan,Desechar
0.36509,GALLETA,GALLETA,Mantener
0.52671,PRODUCTOS DE REPOSTERÍA,PRODUCTOS DE REPOSTERÍA,Mantener
0.0803,MASAS SALADAS PREPARADAS,MASAS SALADAS PREPARADAS,Mantener
0.07019,SNACK,SNACK,Mantener
0.28993,PASTAS,Cereales,Desechar
1.71291,CARNE DE VACUNO,Carnes,Desechar
0.47526,CARNE DE CERDO,Carnes,Desechar
0.10209,CARNE DE PAVO,Carnes,Desechar
0.96033,CARNE DE POLLO,Carnes,Desechar
1.03909,CECINAS,Carnes,Desechar
0.09243,HAMBURGUESA,Carnes,Desechar
0.25941,PESCADOS,PESCADOS,Mantener
0.08985,MARISCOS,MARISCOS,Mantener
0.18753,PESCADOS EN CONSERVA,PESCADOS EN CONSERVA,Mantener
0.03186,MARISCOS EN CONSERVA,MARISCOS EN CONSERVA,Mantener
0.20152,LECHE EN POLVO,Lacteos,Desechar
0.48949,LECHE LÍQUIDA,Lacteos,Desechar
0.06545,LECHE CONSERVADA,Lacteos,Desechar
0.41984,YOGHURT,Lacteos,Desechar
0.06563,POSTRES LÁCTEOS,Lacteos,Desechar
0.74586,QUESO,Lacteos,Desechar
0.33391,HUEVOS,Huevos,Desechar
0.12314,MANTEQUILLA,Lacteos,Desechar
0.11859,MARGARINA,Lacteos,Desechar
0.3455,ACEITE VEGETAL,Aceite,Desechar
0.09812,MANZANA,Frutas,Desechar
0.09246,NARANJA,Frutas,Desechar
0.03001,PERA,Frutas,Desechar
0.12176,PLÁTANO,Frutas,Desechar
0.4521,FRUTAS DE ESTACIÓN,Frutas,Desechar
0.09986,FRUTOS SECOS,FRUTOS SECOS,Mantener
0.04825,FRUTAS EN CONSERVA,FRUTAS EN CONSERVA,Mantener
0.04338,ACELGA Y ESPINACA,Hortaliza,Desechar
0.13287,CEBOLLA Y CEBOLLÍN,,Desechar
0.18688,LECHUGA,Hortaliza,Desechar
0.10457,LIMÓN,Frutas,Desechar
0.28423,PALTA,Frutas,Desechar
0.04971,PIMENTÓN Y PIMIENTO,PIMENTÓN Y PIMIENTO,Mantener
0.36505,TOMATE,Hortaliza,Desechar
0.08384,ZANAHORIA,Hortaliza,Desechar
0.09787,ZAPALLO,Hortaliza,Desechar
0.03843,ZAPALLO ITALIANO,Hortaliza,Desechar
0.31022,VERDURAS DE ESTACIÓN,Hortaliza,Desechar
0.10244,VERDURAS CONGELADAS,VERDURAS CONGELADAS,Mantener
0.04408,VERDURAS EN CONSERVA,VERDURAS EN CONSERVA,Mantener
0.0851,VERDURAS ENCURTIDAS,VERDURAS ENCURTIDAS,Mantener
0.13135,LEGUMBRES,Legumbre,Desechar
0.43184,PAPA,Hortaliza,Desechar
0.04535,PAPAS CONGELADAS Y DESHIDRATADAS,PAPAS CONGELADAS Y DESHIDRATADAS,Mantener
0.10198,PAPAS FRITAS,PAPAS FRITAS,Mantener
0.18716,AZÚCAR,Azucar,Desechar
0.04802,ENDULZANTE,ENDULZANTE,Mantener
0.07548,MERMELADA,MERMELADA,Mantener
0.05107,MANJAR Y DULCES UNTABLES,MANJAR Y DULCES UNTABLES,Mantener
