Calidad,Mes/Año,Momento,Precio máximo,Precio mínimo,Precio promedio,Procedencia,Producto,Sector,Tipo,Tipo punto monitoreo,Unidad,Variedad
,08/2014,2014-08,2249,1129,1558.2966,,Maravilla,Osorno,Aceite,,$/litro,
,08/2014,2014-08,1735,790,1410.9042,,Vegetal,Osorno,Aceite,,$/litro,
,08/2014,2014-08,1719,1220,1516.6203,,Maravilla,Puerto Montt,Aceite,,$/litro,
,08/2014,2014-08,1749,809,1357.3113,,Vegetal,Puerto Montt,Aceite,,$/litro,
,09/2014,2014-09,1768,1589,1680.2222,,Maravilla,Frutillar,Aceite,,$/litro,
,09/2014,2014-09,1799,799,1354.8083,,Vegetal,Frutillar,Aceite,,$/litro,
,09/2014,2014-09,1755,1190,1579.5833,,Maravilla,Llanquihue,Aceite,,$/litro,
,09/2014,2014-09,1699,839,1408.4166,,Vegetal,Llanquihue,Aceite,,$/litro,
,09/2014,2014-09,1755,799,1519.6709,,Maravilla,Osorno,Aceite,,$/litro,
,09/2014,2014-09,2650,799,1396.5417,,Vegetal,Osorno,Aceite,,$/litro,
,09/2014,2014-09,1719,1190,1542.906,,Maravilla,Puerto Montt,Aceite,,$/litro,
,09/2014,2014-09,1799,799,1371.4852,,Vegetal,Puerto Montt,Aceite,,$/litro,
,09/2014,2014-09,1837,1199,1553.3125,,Maravilla,Puerto Varas,Aceite,,$/litro,
,09/2014,2014-09,1699,1179,1430.6178,,Vegetal,Puerto Varas,Aceite,,$/litro,
,10/2014,2014-10,1768,1199,1651.9047,,Maravilla,Frutillar,Aceite,,$/litro,
,10/2014,2014-10,1799,1249,1547.1626,,Vegetal,Frutillar,Aceite,,$/litro,
,10/2014,2014-10,1755,1190,1661.2222,,Maravilla,Llanquihue,Aceite,,$/litro,
,10/2014,2014-10,1735,839,1453.6666,,Vegetal,Llanquihue,Aceite,,$/litro,
,10/2014,2014-10,1755,1190,1488.6461,,Maravilla,Osorno,Aceite,,$/litro,
,10/2014,2014-10,1735,799,1393.4931,,Vegetal,Osorno,Aceite,,$/litro,
,10/2014,2014-10,1958,1190,1516.1122,,Maravilla,Puerto Montt,Aceite,,$/litro,
,10/2014,2014-10,1799,799,1423.8128,,Vegetal,Puerto Montt,Aceite,,$/litro,
,10/2014,2014-10,1837,1199,1532.4011,,Maravilla,Puerto Varas,Aceite,,$/litro,
,10/2014,2014-10,1699,1120,1466.9964,,Vegetal,Puerto Varas,Aceite,,$/litro,
,11/2014,2014-11,1755,1190,1465.296,,Maravilla,Osorno,Aceite,,$/litro,
,11/2014,2014-11,1735,819,1387.7803,,Vegetal,Osorno,Aceite,,$/litro,
,11/2014,2014-11,1719,1190,1440.6562,,Maravilla,Puerto Montt,Aceite,,$/litro,
,11/2014,2014-11,1650,825,1375.2569,,Vegetal,Puerto Montt,Aceite,,$/litro,
,11/2014,2014-11,1837,1250,1542.5625,,Maravilla,Puerto Varas,Aceite,,$/litro,
,11/2014,2014-11,1650,1165,1407.5937,,Vegetal,Puerto Varas,Aceite,,$/litro,
,12/2014,2014-12,1719,1190,1447.019,,Maravilla,Osorno,Aceite,,$/litro,
,12/2014,2014-12,1649,888,1405.1309,,Vegetal,Osorno,Aceite,,$/litro,
,12/2014,2014-12,2499,1149,1414.3729,,Maravilla,Puerto Montt,Aceite,,$/litro,
,12/2014,2014-12,1890,1120,1421.2805,,Vegetal,Puerto Montt,Aceite,,$/litro,
,12/2014,2014-12,2439,1250,1549.625,,Maravilla,Puerto Varas,Aceite,,$/litro,
,12/2014,2014-12,1670,1199,1451.9166,,Vegetal,Puerto Varas,Aceite,,$/litro,
,01/2015,2015-01,1749,1190,1436.9037,,Maravilla,Osorno,Aceite,,$/litro,
,01/2015,2015-01,1699,880,1340.1227,,Vegetal,Osorno,Aceite,,$/litro,
,01/2015,2015-01,1719,1110,1412.8139,,Maravilla,Puerto Montt,Aceite,,$/litro,
,01/2015,2015-01,1639,1120,1374.302,,Vegetal,Puerto Montt,Aceite,,$/litro,
